dblabel,hour_bins,labels,image_id,views
91,night,Urban Scenes,4,1124
92,day,Natural Landscape,4,1254
92,day,Urban Scenes,20,6576
92,day,wildlife,4,3056
92,night,Urban Scenes,1,12
93,day,Food,11,2384
93,day,Natural Landscape,2,392
93,day,Urban Scenes,12,8662
93,day,people,1,246
93,day,wildlife,1,4554
93,night,Food,3,163
93,night,Urban Scenes,2,2098
93,night,drinks,1,13
93,night,people,14,94623
101,day,Others,8,597
102,day,Natural Landscape,1,17
102,day,Urban Scenes,7,5934
102,night,Urban Scenes,38,12662
107,day,Urban Scenes,26,2551
108,day,Natural Landscape,11,328
108,day,Urban Scenes,1,110
109,day,Natural Landscape,19,365
110,day,Urban Scenes,37,1343
110,night,Others,1,7
110,night,Urban Scenes,1,12
111,day,Urban Scenes,10,382
113,day,Others,9,1050
113,night,Others,7,735
113,night,Urban Scenes,1,58
114,day,Natural Landscape,1,58
114,day,Others,54,1187
124,day,Natural Landscape,7,482
124,night,Natural Landscape,1,318
125,day,Natural Landscape,5,182
125,day,Others,2,173
125,night,Others,13,35
126,day,Others,8,27
126,night,Others,7,30
127,night,Others,9,258
130,day,people,48,1246
130,day,wildlife,7,336
130,night,Natural Landscape,1,226
130,night,Others,1,33
130,night,people,3,406
134,day,Natural Landscape,13,552
134,night,Natural Landscape,10,570
135,night,Natural Landscape,8,271
138,day,Natural Landscape,28,60
139,day,Natural Landscape,76,425
142,day,Natural Landscape,14,529
146,day,Others,12,0
147,day,Natural Landscape,57,1295
150,day,Natural Landscape,6,8
150,night,Natural Landscape,3,9
150,night,Others,2,8
150,night,people,1,15
151,day,Natural Landscape,8,669
154,night,Others,39,113
155,day,Natural Landscape,38,1511
161,day,Natural Landscape,5,3765
161,day,Others,1,205
161,night,Natural Landscape,13,693
163,day,Natural Landscape,6,3551
163,night,Natural Landscape,6,150
165,day,Natural Landscape,12,7566
165,day,Others,1,1
165,night,Natural Landscape,5,5435
165,night,Others,1,2823
166,day,Natural Landscape,13,1579
169,day,Natural Landscape,9,1303
170,day,Natural Landscape,4,3136
170,night,Natural Landscape,5,949
176,day,Natural Landscape,9,357
177,day,Natural Landscape,12,244
177,night,Natural Landscape,3,47
178,day,Natural Landscape,6,86
178,night,Natural Landscape,3,97
181,day,people,68,2227
182,day,wildlife,32,2536
183,day,Natural Landscape,9,36
185,day,Urban Scenes,20,236
186,day,people,33,341
190,day,Others,39,1202
190,day,people,6,1069
190,night,Others,6,76
